,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,YAHOO_SYMBOL,SECTOR,STOCK_NAME,CURRENCY,EXCHANGE,EXCHANGE_STATE,MARKETPRICE,SHARESOUTSTANDING,UPDATED,MARKETOPEN,MARKETCLOSE,MARKETCAP,ENDDATE_MRQ0,CNAV_pershare,CNAV_total,PCNAV,Last_div_date,dpu_ttm,date_mr1,dpu_mr1,date_mr2,dpu_mr2,date_mr3,dpu_mr3,date_mr4,dpu_mr4,dpu_2020,dpu_2019,dpu_2018,dpu_2017,dpu_2016,dpu_2015,dpu_2014,dpu_2013,dpu_2012,dpu_2011,dpu_2010,date_mr5,dpu_mr5,eps_ttm,eps_mrq1,eps_mrq2,eps_mrq3,eps_mrq4,eps_2021,eps_2020,eps_2019,eps_2018,eps_2017,propertyyield_ttm,propertyyield_2021,propertyyield_2020,propertyyield_2019,propertyyield_2018,propertyyield_2017,gearing_mrq,gearing_2021,gearing_2020,gearing_2019,gearing_2018,gearing_2017,interestcover_mrq,interestcover_2021,interestcover_2020,interestcover_2019,interestcover_2018,interestcover_2017,No_of_properties,Occupancy,weighted_debt,wale_GI,wale_NLA,LOCATION,LINK,MARKETSTATE,MARKETTIME,ENTERPRISEVALUE
0,0,0,0,0,0,AW9U.SI,HEALTHCARE,First Real Estate Investment Trust,SGD,SES,POSTPOST,0.27,1606630016,27-06-2021 11:23:56,0.27,0.27,425756928,31/12/2020,0.26021236740046066,418065000.0,1.0376140177245166,17/5/2021,0.028082,17/5/2021,0.0065,26/1/2021,0.0084,18/11/2020,0.009182,6/8/2020,0.004,0.049636,0.07818,0.07818,0.077729,0.076637,0.092727,0.0666,0.0624,0.0842,0.0595,0.0768,0,0.0,-1.023348885,-0.518611408,-0.518611408,0.006936966,0.006936966,0.0,-1.006679567,0.123556275,0.186777358,0.172231882,6.975761697,0.0,6.975761697,7.450432007,7.528674417,7.115599684,54.3241262,0.0,54.3241262,38.70382839,39.16413776,38.10397321,5.082331731,0.0,3.242419746,4.661595894,5.289466813,5.224804092,20.0,,1.22,,6.4,"INDO: 12 hospitals, 2 integrated hospital & mall, 1 integrated hotel & hospital and 1 hotel & country club, SG: 3 nursing homes, SOUTH KOREA: 1 hospital",https://www.first-reit.com/,CLOSED,2021-06-27 17:11:31,905111488.0
1,1,1,1,1,1,C2PU.SI,HEALTHCARE,Parkway Life Real Estate Investment Trust,SGD,SES,POSTPOST,4.55,605001984,27-06-2021 11:23:56,4.47,4.47,2740659200,31/3/2021,1.930990361843177,1168253000.0,2.3563038376105174,30/4/2021,0.1333,30/4/2021,0.0357,1/2/2021,0.0286,11/11/2020,0.0354,5/8/2020,0.0336,0.1356,0.1313,0.1297,0.1277,0.1161,0.487,0.1005,0.1035,0.0948,0.0951,0.0846,0,0.0,0.104943151,0.023912195,0.043494969,0.017667207,0.01986878,0.0,0.137941505,0.19087402,0.230377321,0.150984725,4.933250422,0.0,4.828783653,4.74381275,4.88128677,5.107381996,39.32586715,0.0,40.79810218,38.48984663,37.46534115,37.79983071,22.4417521,0.0,18.75941463,14.12325863,13.48848953,11.11820926,53.0,,,,,"59.4 SG(3 hospitals), Japan (49 nursing homes), Malaysia (1 Medical center)",https://plifereit.com/,CLOSED,2021-06-27 17:06:17,3419337984.0
2,2,2,2,2,2,BMGU.SI,RETAIL,BHG Retail REIT,SGD,SES,POSTPOST,0.55,511718016,27-06-2021 11:23:56,0.55,0.55,281444928,31/12/2020,1.1909860136720298,609449000.0,0.4618022325083806,10/3/2021,0.0195,10/3/2021,0.0106,8/9/2020,0.0089,0,0.0,0,0.0,0.0268,0.045,0.0273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,-0.002368571,-0.002237875,-0.002237875,0.00105359,0.00105359,0.0,-0.002435937,0.113619097,0.075914362,0.050286466,3.616209109,0.0,3.616209109,5.131917261,5.260386212,4.87530272,33.78282355,0.0,33.78282355,33.34852393,29.44340405,31.04865215,2.373077412,0.0,2.276443911,3.15119811,4.382840663,4.421134942,6.0,0.935,,3.8,6.9,"100% China | ????, ?????, ????, ??????, ????, ?????",,CLOSED,2021-06-27 15:44:35,700899264.0
3,3,3,3,3,3,CEDU.SI,RETAIL,Dasin Retail Trust,SGD,SES,POSTPOST,0.64,782036992,27-06-2021 11:23:56,0.635,0.64,508324032,31/3/2018,1.035997028641837,810188000.0,0.6177623895688408,15/3/2021,0.0394,15/3/2021,0.0196,3/7/2020,0.0198,0,0.0,0,0.0,0.0404,0.0702,0.0774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.182101891,0.053901048,0.093216015,0.002582996,0.032401832,0.0,0.0,0.0,0.0,0.124932915,2.612866649,0.0,0.0,0.0,0.0,2.308826106,31.77929841,0.0,0.0,0.0,0.0,31.70807344,2.594511017,0.0,0.0,0.0,0.0,1.508989095,7.0,0.97,5.3,4.0,6.5,"100% China | 7 RETAIL @ Foshan, Zhuhai and Zhongshan cities",,CLOSED,2021-06-27 17:06:42,1297061376.0
4,4,4,4,4,4,J69U.SI,RETAIL,Frasers Centrepoint Trust,SGD,SES,POSTPOST,2.41,1698889984,27-06-2021 11:23:56,2.42,2.42,4111313920,31/3/2021,1.983158433877729,3369168000.0,1.215233215274513,30/4/2021,0.10368,30/4/2021,0.05864,5/10/2020,0.04504,0,0.0,0,0.0,0.091435,0.119845,0.119233,0.116742,0.116742,0.11431,0.10915,0.1093,0.0809,0.0804,0.0801,0,0.0,0.051206878,0.010446597,0.010446597,0.015156842,0.015156842,0.0,0.059188209,0.08271146,0.08543603,0.102450032,3.850940257,0.0,6.551591084,5.303847215,4.549880709,4.393144391,38.5433205,0.0,47.55844556,38.84777776,31.58036429,31.61667836,4.926636911,0.0,6.277475782,5.885986119,6.360044745,6.756412473,11.0,0.949,2.1,1.51,1.55,100% SG,,CLOSED,2021-06-27 17:11:33,6078427648.0
5,5,5,5,5,5,JYEU.SI,RETAIL,Lendlease Global Commercial REIT,SGD,SES,POSTPOST,0.82,1180999936,27-06-2021 11:23:56,0.815,0.81,944799936,31/12/2020,0.7815351820645653,922993000.0,1.0492170011256856,18/2/2021,0.04098,18/2/2021,0.0234,18/8/2020,0.01758,0,0.0,0,0.0,0.03048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.031397878,0.002290945,0.002290945,0.033274579,-0.006458591,0.0,-0.006145497,0.0,0.0,0.0,2.388260149,0.0,1.637632868,0.0,0.0,0.0,37.83085986,0.0,36.37533447,0.0,0.0,0.0,4.935534902,0.0,4.622651688,0.0,0.0,0.0,4.0,0.997,2.7,9.3,9.3,"69.4%SG(1 RETAIL), 30.6%MILAN(3 OFFICES)",,CLOSED,2021-06-27 17:04:09,1466889728.0
6,6,6,6,6,6,D5IU.SI,RETAIL,Lippo Malls Indonesia Retail Trust,SGD,SES,POSTPOST,0.064,7673339904,27-06-2021 11:23:56,0.064,0.064,506440416,31/3/2021,0.11894129693436815,912677000.0,0.538080562845344,4/5/2021,0.002802,4/5/2021,0.0008,8/3/2021,0.0004,9/11/2020,0.000623,3/8/2020,0.000979,0.0073,0.017896,0.022616,0.028316,0.024485,0.022656,0.0316,0.0324,0.0274,0.0443,0.0449,0,0.0,-0.472053642,-0.007201442,-0.073608611,-0.376346386,-0.014897203,0.0,-0.48686409,-0.005169681,0.052725596,0.053570131,2.722087589,0.0,4.341113172,9.127345835,8.060563195,8.144063414,48.09842025,0.0,49.2140464,45.1522297,40.79191859,39.06535241,1.510589418,0.0,1.376862041,3.76561858,4.285198973,4.945044161,29.0,0.859,2.6,,3.5,"100% IND (37 cities), 22 malls + 7 retail",,CLOSED,2021-06-27 17:04:09,1161017472.0
7,7,7,7,7,7,N2IU.SI,RETAIL,Mapletree Commercial Trust,SGD,SES,POSTPOST,2.15,3320199936,27-06-2021 11:23:56,2.16,2.17,7171632128,31/3/2021,1.7132079723044726,5688193000.0,1.254955635717705,4/5/2021,0.0949,4/5/2021,0.0532,29/10/2020,0.0417,0,0.0,0,0.0,0.0693,0.098529,0.090345,0.089749,0.080446,0.080336,0.07738,0.06958,0.06065,0.022894,0.0,0,0.0,0.017301203,0.020283445,0.020283445,-0.011632844,-0.011632844,0.017328511,0.137741246,0.193408972,0.189470406,0.0,3.860131991,3.860131991,3.817067734,4.472386352,4.59805653,0.0,35.42780142,35.42780142,34.89566096,34.32051677,35.88792351,0.0,5.063894357,4.388793462,4.321715511,4.496486417,4.940663794,0.0,6.0,0.981,4.4,,2.5,"100%SG (vivocity, mbc I & II etc)",,CLOSED,2021-06-27 17:04:09,10061882368.0
8,8,8,8,8,8,CRPU.SI,RETAIL,Sasseur Real Estate Investment Trust,SGD,SES,POSTPOST,0.93,1212109952,27-06-2021 11:23:56,0.935,0.93,1139383296,31/3/2021,0.8865466356636267,1074592000.0,1.049014188975909,10/6/2021,0.0697,10/6/2021,0.01759,11/3/2021,0.01935,11/12/2020,0.01764,28/8/2020,0.01512,0.06239,0.08445,0.01587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.048268386,0.018253435,0.001279159,0.015463361,0.013272431,0.0,0.042538814,0.117984816,0.210093501,0.0,7.213845469,0.0,6.954535654,6.846787135,8.541868709,0.0,35.98041409,0.0,37.13625152,35.95299029,37.11297652,0.0,5.270699561,0.0,4.452574841,3.918508636,3.150084621,0.0,4.0,0.935,2.2,1.1,2.6,"100% China, Bishan, Chongqing, Hefei, Kuming",,CLOSED,2021-06-27 17:04:09,1479563136.0
9,9,9,9,9,9,SK6U.SI,RETAIL,SPH REIT,SGD,SES,POSTPOST,0.87,2781989888,27-06-2021 11:23:57,0.87,0.87,2420331264,28/2/2021,0.0,0.0,inf,6/4/2021,0.0348,6/4/2021,0.0124,20/1/2021,0.012,13/10/2020,0.0054,8/7/2020,0.005,0.0134,0.0837,0.0554,0.0553,0.055,0.0547,0.0599,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060962298,0.056522753,0.064912063,0.0,0.0,0.0,4.431208881,4.383757467,4.568715245,0.0,0.0,0.0,28.9822009,27.50307127,26.79637135,0.0,0.0,0.0,5.511458297,7.121612499,6.261013124,5.0,0.979,2.7,2.6,5.5,"SG(3-Paragon, Clementi mall, Rail mall),Aust(2)",,CLOSED,2021-06-27 17:04:09,3613798144.0
