,SECTOR,YAHOO_SYMBOL,FINDATA_CURR,STOCK_NAME,CURRENCY,EXCHANGE,EXCHANGE_STATE,MARKETCAP,MARKETPRICE,UPDATED,MARKETOPEN,MARKETCLOSE,MARKETTIME,FX_RATE,ENTERPRISEVALUE,SHARESOUTSTANDING,INSIDER_SHARES,INSTITUTION_SHARES,BOOK_VALUE,NETINCOME_TO_COMMON,TRAILING_EPS,52WEEKCHANGE,EV/R,PRICETOBOOK
0,HEALTHCARE,AW9U.SI,SGD,First Real Estate Investment Trust,SGD,SES,REGULAR,441823264.0,0.275,21-06-2021 15:00:57,0.275,0.275,2021-06-21 06:50:23,1.0,913102848.0,1606630016.0,0.031089999,0.15433,0.575,-355827008.0,-0.443,-0.5769231,11.468,0.4782609
1,HEALTHCARE,C2PU.SI,SGD,Parkway Life Real Estate Investment Trust,SGD,SES,REGULAR,2649908736.0,4.38,21-06-2021 15:00:58,4.4,4.39,2021-06-21 06:50:55,1.0,3383037696.0,605001984.0,0.36071,0.24213,1.982,100262000.0,0.166,0.27616274,27.954,2.2098892
2,RETAIL,BMGU.SI,SGD,BHG Retail REIT,SGD,SES,REGULAR,284003488.0,0.555,21-06-2021 15:00:58,0.555,0.555,2021-06-18 06:51:17,1.0,711119168.0,511718016.0,0.82942003,0.0,0.86,-1070000.0,-0.002,-0.1328125,11.742,0.64534885
3,RETAIL,CEDU.SI,SGD,Dasin Retail Trust,SGD,SES,REGULAR,527874976.0,0.675,21-06-2021 15:00:58,0.685,0.685,2021-06-21 06:26:19,1.0,1336047104.0,782036992.0,0.69096,0.035520002,1.418,-72126000.0,-0.102,-0.17469877,15.273,0.47602257
4,RETAIL,J69U.SI,SGD,Frasers Centrepoint Trust,SGD,SES,REGULAR,4094324992.0,2.41,21-06-2021 15:00:58,2.41,2.41,2021-06-21 06:50:24,1.0,6078427648.0,1698889984.0,0.41564998,0.29764,2.312,160228000.0,0.116,0.01499629,19.796,1.0423876
5,RETAIL,JYEU.SI,SGD,Lendlease Global Commercial REIT,SGD,SES,REGULAR,956609920.0,0.81,21-06-2021 15:00:58,0.805,0.805,2021-06-21 06:42:18,1.0,1443346816.0,1180999936.0,0.30489,0.33006,0.845,-6081879.0,-0.005,0.12587416,36.818,0.95857984
6,RETAIL,D5IU.SI,SGD,Lippo Malls Indonesia Retail Trust,SGD,SES,REGULAR,491093792.0,0.064,21-06-2021 15:00:58,0.065,0.065,2021-06-21 06:36:14,1.0,1161017472.0,7673339904.0,0.55984,0.04755,0.133,-252959008.0,-0.066,-0.48591405,9.126,0.48120302
7,RETAIL,N2IU.SI,SGD,Mapletree Commercial Trust,SGD,SES,REGULAR,7105228288.0,2.14,21-06-2021 15:00:58,2.12,2.14,2021-06-21 06:50:36,1.0,9920559104.0,3320199936.0,0.0242,0.64368,1.722,68606000.0,0.021,0.059405923,20.711,1.2427411
8,RETAIL,CRPU.SI,SGD,Sasseur Real Estate Investment Trust,SGD,SES,REGULAR,1136845440.0,0.94,21-06-2021 15:00:58,0.94,0.94,2021-06-21 06:48:37,1.0,1491657216.0,1209410048.0,0.60139,0.09467,0.924,53444000.0,0.044,0.25333333,11.324,1.017316
9,RETAIL,SK6U.SI,SGD,SPH REIT,SGD,SES,REGULAR,2420331264.0,0.87,21-06-2021 15:00:58,0.87,0.875,2021-06-21 06:50:09,1.0,3627692032.0,2781989888.0,0.66675,0.05021,1.021,-78035000.0,-0.028,-0.011299431,14.627,0.85210574
10,RETAIL,P40U.SI,SGD,Starhill Global Real Estate Investment Trust,SGD,SES,REGULAR,1217810048.0,0.55,21-06-2021 15:00:58,0.555,0.56,2021-06-21 06:50:20,1.0,2236384000.0,2214200064.0,0.37859002,0.14216,0.87,70099000.0,0.032,0.037037015,12.966,0.63793105
11,RETAIL,ODBU.SI,USD,United Hampshire US Real Estate Investment Trust,USD,SES,REGULAR,365555200.0,0.735,21-06-2021 15:00:58,0.74,0.735,2021-06-21 06:48:45,1.0,581699008.0,497353984.0,0.116610005,0.15221,0.755,3707200.0,0.008,0.26724136,17.472,0.97350997
12,HOSPITALITY,XZL.SI,USD,ARA US Hospitality Trust,USD,SES,REGULAR,306364704.0,0.54,21-06-2021 15:00:58,0.54,0.54,2021-06-21 06:48:47,1.0,650621888.0,567342016.0,0.58064,0.040510003,0.615,-94465000.0,-0.167,0.27058828,8.324,0.8780488
13,HOSPITALITY,HMN.SI,SGD,Ascott Residence Trust,SGD,SES,REGULAR,3148301312.0,1.01,21-06-2021 15:00:58,1.01,1.01,2021-06-21 06:50:54,1.0,5516684800.0,3117129984.0,0.01107,0.49687,1.275,-238076992.0,-0.077,-0.038095236,14.915,0.7921569
14,HOSPITALITY,J85.SI,SGD,CDL Hospitality Trusts,SGD,SES,REGULAR,1518404736.0,1.24,21-06-2021 15:00:58,1.22,1.22,2021-06-21 06:50:00,1.0,2544430848.0,1224519936.0,0.31535998,0.19594,1.326,-188015008.0,-0.154,0.11926603,21.644,0.9351433
